query,predicted.name,predicted.rank,predicted.ncbi_id,predicted.threshold,closest.distance,closest.description,next.name,next.rank,next.ncbi_id,next.threshold
25ARS-CRH0054-20260316P,Escherichia coli,species,562,0.0,0.2005002,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-CVM0112-20260323P,Escherichia coli,species,562,0.0,0.12325152,[GCF_001616385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0027-20250708A,Escherichia coli,species,562,0.0,0.13489303,[GCF_000981065.1] Escherichia coli (E. coli),,,,
25ARS-DMC0028-20250704P,Escherichia coli,species,562,0.0,0.04503135,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0029-20250704P,Escherichia coli,species,562,0.0,0.05977834,[GCF_000781675.1] Escherichia coli (E. coli),,,,
25ARS-DMC0030-20250708A,Escherichia coli,species,562,0.0,0.19951703,[GCF_001030555.1] Escherichia coli (E. coli),,,,
25ARS-DMC0031-20250704P,Escherichia coli,species,562,0.0,0.2537397,[GCF_000488295.1] Escherichia coli 113302 (E. coli),,,,
25ARS-DMC0053-20250801A,Escherichia coli,species,562,0.0,0.049698226,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0056-20250801A,Escherichia coli,species,562,0.0,0.12330564,[GCF_000987535.1] Escherichia coli (E. coli),,,,
25ARS-DMC0057-20250801A,Escherichia coli,species,562,0.0,0.20684318,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-DMC0058-20250801A,Escherichia coli,species,562,0.0,0.04855742,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0061-20250801A,Escherichia coli,species,562,0.0,0.22300509,[GCF_000801165.1] Escherichia coli (E. coli),,,,
25ARS-DMC0062-20250801A,Escherichia coli,species,562,0.0,0.22275043,[GCF_000801165.1] Escherichia coli (E. coli),,,,
25ARS-DMC0063-20250801A,Escherichia coli,species,562,0.0,0.076887056,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0096-20260401P,Escherichia coli,species,562,0.0,0.19663253,[GCF_001052705.1] Escherichia coli (E. coli),,,,
25ARS-DMC0098-20260401P,Escherichia coli,species,562,0.0,0.04313389,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0103-20260401P,Escherichia coli,species,562,0.0,0.19681841,[GCF_001052705.1] Escherichia coli (E. coli),,,,
25ARS-DMC0150-20251023P,Escherichia coli,species,562,0.0,0.12812641,[GCF_001519575.1] Escherichia coli (E. coli),,,,
25ARS-DMC0151-20251001A,Escherichia coli,species,562,0.0,0.11625432,[GCF_000981065.1] Escherichia coli (E. coli),,,,
25ARS-DMC0152-20251001A,Escherichia coli,species,562,0.0,0.07546822,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0201-20260323A,Escherichia coli,species,562,0.0,0.19081025,[GCF_001268605.1] Escherichia coli (E. coli),,,,
25ARS-DMC0262-20260323A,Escherichia coli,species,562,0.0,0.06247655,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0264-20260323A,Escherichia coli,species,562,0.0,0.20210172,[GCF_001052705.1] Escherichia coli (E. coli),,,,
25ARS-DMC0303-20260316A,Escherichia coli,species,562,0.0,0.042498328,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0304-20260316A,Escherichia coli,species,562,0.0,0.21497735,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-DMC0305-20260316A,Escherichia coli,species,562,0.0,0.23103689,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-DMC0306-20260316P,Escherichia coli,species,562,0.0,0.047010586,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0307-20260316A,Escherichia coli,species,562,0.0,0.043638423,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0308-20260316A,Escherichia coli,species,562,0.0,0.1426468,[GCF_000987535.1] Escherichia coli (E. coli),,,,
25ARS-DMC0309-20260316A,Escherichia coli,species,562,0.0,0.04341189,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-DMC0310-20260316P,Escherichia coli,species,562,0.0,0.25358528,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-DMC0312-20260316A,Escherichia coli,species,562,0.0,0.1426468,[GCF_000987535.1] Escherichia coli (E. coli),,,,
25ARS-EVR0071-20260316P,Escherichia coli,species,562,0.0,0.2518933,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-GMH0004-20250704P,Escherichia coli,species,562,0.0,0.14225072,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-GMH0005-20250704P,Escherichia coli,species,562,0.0,0.14551885,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-GMH0020-20260330A,Escherichia coli,species,562,0.0,0.09661923,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-GMH0021-20260401P,Escherichia coli,species,562,0.0,0.23607749,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-GMH0030-20250916P,Escherichia coli,species,562,0.0,0.14379199,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-GMH0035-20260323A,Escherichia coli,species,562,0.0,0.09406566,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-GMH0036-20260323A,Escherichia coli,species,562,0.0,0.25937396,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-GMH0061-20260316P,Escherichia coli,species,562,0.0,0.1388889,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-GMH0062-20260316P,Escherichia coli,species,562,0.0,0.094658,[GCF_001615675.1] Escherichia coli (E. coli),,,,
25ARS-JLM0037-20250916P,Escherichia coli,species,562,0.0,0.09710423,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-JLM0046-20250916P,Escherichia coli,species,562,0.0,0.18345323,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-JLM0063-20260323A,Escherichia coli,species,562,0.0,0.2512426,[GCF_001571585.1] Escherichia coli (E. coli),,,,
25ARS-JLM0100-20260316P,Escherichia coli,species,562,0.0,0.2888889,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-MAR0012-20250704P,Escherichia coli,species,562,0.0,0.14437993,[GCF_001519355.1] Escherichia coli (E. coli),,,,
25ARS-MAR0019-20250903P,Escherichia coli,species,562,0.0,0.24379599,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-MAR0047-20260330A,Escherichia coli,species,562,0.0,0.2220754,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-MAR0090-20260323P,Escherichia coli,species,562,0.0,0.122221254,[GCF_000458825.1] Escherichia coli HVH 188 (4-2356988) (E. coli),,,,
25ARS-MAR0094-20260323P,Escherichia coli,species,562,0.0,0.22354078,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-MAR0095-20260323P,Escherichia coli,species,562,0.0,0.14295603,[GCF_000458825.1] Escherichia coli HVH 188 (4-2356988) (E. coli),,,,
25ARS-MAR0159-20260316P,Escherichia coli,species,562,0.0,0.032824647,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-MAR0160-20260316P,Escherichia coli,species,562,0.0,0.119246475,[GCF_001519575.1] Escherichia coli (E. coli),,,,
25ARS-MMH0015-20250801A,Escherichia coli,species,562,0.0,0.06678223,[GCF_000778935.1] Escherichia coli (E. coli),,,,
25ARS-MMH0026-20250807P,Escherichia coli,species,562,0.0,0.05254285,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-NMC0009-20251001P,Escherichia coli,species,562,0.0,0.23384163,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-NMC0010-20250903P,Escherichia coli,species,562,0.0,0.25232697,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-NMC0082-20260323P,Escherichia coli,species,562,0.0,0.24272844,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-PGH0033-20260323A,Escherichia coli,species,562,0.0,0.23768866,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-PGH0035-20260323A,Escherichia coli,species,562,0.0,0.26223484,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-RMC0020-20260316P,Escherichia coli,species,562,0.0,0.10815116,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-RTH0006-20260323A,Escherichia coli,species,562,0.0,0.06928385,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-VSM0010-20250903P,Escherichia coli,species,562,0.0,0.18667316,[GCF_000819645.1] Escherichia coli (E. coli),,,,
25ARS-VSM0011-20250905P,Escherichia coli,species,562,0.0,0.08552632,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-VSM0012-20250905P,Escherichia coli,species,562,0.0,0.13589184,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-VSM0015-20250905P,Escherichia coli,species,562,0.0,0.25244957,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-VSM0018-20250905P,Escherichia coli,species,562,0.0,0.20761701,[GCF_001030555.1] Escherichia coli (E. coli),,,,
25ARS-VSM0035-20250801A,Escherichia coli,species,562,0.0,0.050976038,[GCF_001057225.1] Escherichia coli (E. coli),,,,
25ARS-VSM0038-20250801A,Escherichia coli,species,562,0.0,0.07921254,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-VSM0072-20260330A,Escherichia coli,species,562,0.0,0.0983577,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-VSM0073-20260204A,Escherichia coli,species,562,0.0,0.167749,[GCF_001616335.1] Escherichia coli (E. coli),,,,
25ARS-VSM0114-20250916P,Escherichia coli,species,562,0.0,0.052529898,[GCF_000778015.1] Escherichia coli (E. coli),,,,
25ARS-VSM0115-20250916P,Escherichia coli,species,562,0.0,0.07316847,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-VSM0119-20250916P,Escherichia coli,species,562,0.0,0.25002122,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-VSM0120-20250916P,Escherichia coli,species,562,0.0,0.24703676,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-VSM0121-20260323A,Escherichia coli,species,562,0.0,0.3094008,[GCF_000242015.1] Escherichia coli B093 (E. coli),,,,
25ARS-VSM0122-20260330A,Escherichia coli,species,562,0.0,0.25214168,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-VSM0159-20260323A,Escherichia coli,species,562,0.0,0.13206884,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-VSM0160-20260323A,Escherichia coli,species,562,0.0,0.10961834,[GCF_001561335.1] Escherichia coli (E. coli),,,,
25ARS-VSM0161-20260323A,Escherichia coli,species,562,0.0,0.14378351,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-VSM0188-20260323P,Escherichia coli,species,562,0.0,0.16951153,[GCF_000264155.1] Escherichia coli 75 (E. coli),,,,
25ARS-VSM0191-20260323P,Escherichia coli,species,562,0.0,0.17681779,[GCF_000387845.2] Escherichia coli HM46 (E. coli),,,,
25ARS-VSM0192-20260323P,Escherichia coli,species,562,0.0,0.09478458,[GCF_001616385.1] Escherichia coli (E. coli),,,,
25ARS-VSM0193-20260323P,Escherichia coli,species,562,0.0,0.21585537,[GCF_000297235.3] Escherichia coli EC302/04 (E. coli),,,,
25ARS-VSM0195-20251217P,Escherichia coli,species,562,0.0,0.10376599,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-VSM0196-20260323P,Escherichia coli,species,562,0.0,0.25250152,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-VSM0353-20260316A,Escherichia coli,species,562,0.0,0.13286713,[GCF_000351285.1] Escherichia coli KTE228 (E. coli),,,,
25ARS-VSM0354-20260316A,Escherichia coli,species,562,0.0,0.2538611,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-VSM0356-20260316A,Escherichia coli,species,562,0.0,0.25489038,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-VSM0400-20260318P,Escherichia coli,species,562,0.0,0.15135182,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-VSM0402-20260316P,Escherichia coli,species,562,0.0,0.14148109,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-VSM0403-20260316A,Escherichia coli,species,562,0.0,0.07388205,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-VSM0404-20260316P,Escherichia coli,species,562,0.0,0.183188,[GCF_001463325.1] Escherichia coli (E. coli),,,,
25ARS-VSM0405-20260316P,Escherichia coli,species,562,0.0,0.2431067,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-VSM0407-20260316A,Escherichia coli,species,562,0.0,0.073851004,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-ZMC0049-20260316P,Escherichia coli,species,562,0.0,0.24613081,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-ZMC0050-20260316A,Escherichia coli,species,562,0.0,0.106197864,[GCF_001282225.1] Escherichia coli (E. coli),,,,
