sample	total_contig	total_contig_length	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	l50_contig_count	num_contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_t	contig_percent_n	contig_non_acgtn	contigs_greater_1m	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	percent_contigs_greater_1m	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k
25ARS-GMH0035-20260323A	128	5021895	359183	39233	9259	502	119228	14	0	24.69	25.44	25.28	24.60	0.00	0.00	0	16	63	105	0.00	12.50	49.22	82.03
25ARS-GMH0036-20260323A	134	5267141	262887	39307	17378	502	100221	17	0	24.61	25.37	25.35	24.67	0.00	0.00	0	17	78	114	0.00	12.69	58.21	85.07
25ARS-GMH0061-20260316P	122	5019237	313934	41141	10022	537	140374	13	0	24.64	25.29	25.34	24.73	0.00	0.00	0	19	61	100	0.00	15.57	50.00	81.97
25ARS-GMH0062-20260316P	97	5084916	414918	52421	16258	510	126903	11	0	24.72	25.19	25.29	24.80	0.00	0.00	0	15	55	88	0.00	15.46	56.70	90.72
25ARS-JLM0037-20250916P	103	4956763	348264	48123	6118	501	179413	10	0	24.67	25.16	25.41	24.75	0.00	0.00	0	17	46	87	0.00	16.50	44.66	84.47
25ARS-JLM0046-20250916P	153	5105503	386573	33369	8238	508	84269	17	0	24.54	25.19	25.50	24.77	0.00	0.00	0	13	72	134	0.00	8.50	47.06	87.58
25ARS-JLM0063-20260323A	110	5412889	316407	49208	25819	502	135981	15	0	24.67	25.27	25.28	24.79	0.00	0.00	0	18	67	97	0.00	16.36	60.91	88.18
25ARS-JLM0100-20260316P	166	5376652	372724	32389	4888	500	110766	15	0	24.66	25.19	25.32	24.83	0.00	0.00	0	17	70	133	0.00	10.24	42.17	80.12
25ARS-MAR0012-20250704P	70	5071795	767940	72454	6288	547	312347	6	0	24.51	25.55	25.34	24.60	0.00	0.00	0	15	31	58	0.00	21.43	44.29	82.86
25ARS-MAR0019-20250903P	150	5140398	294383	34269	5904	508	113579	15	0	24.67	25.54	25.24	24.55	0.00	0.00	0	19	69	129	0.00	12.67	46.00	86.00
25ARS-MAR0047-20260330A	132	4963495	259899	37602	10387	533	107173	15	0	24.62	25.45	25.35	24.57	0.00	0.00	0	16	67	117	0.00	12.12	50.76	88.64
25ARS-MAR0090-20260323P	158	5194489	397832	32876	3600	504	147618	11	0	24.64	25.10	25.46	24.80	0.00	0.00	0	15	68	118	0.00	9.49	43.04	74.68
25ARS-MAR0094-20260323P	128	4985879	294383	38952	11633	502	117320	14	0	24.59	25.34	25.49	24.58	0.00	0.00	0	16	67	110	0.00	12.50	52.34	85.94
25ARS-MAR0095-20260323P	158	5170515	397566	32724	4086	503	147960	11	0	24.59	25.27	25.36	24.78	0.00	0.00	0	15	67	121	0.00	9.49	42.41	76.58
25ARS-MAR0159-20260316P	82	4820864	574686	58791	7463	501	206077	8	0	24.71	25.03	25.50	24.76	0.00	0.00	0	17	40	73	0.00	20.73	48.78	89.02
25ARS-MAR0160-20260316P	74	4914514	373221	66412	26591	510	193027	10	0	24.74	25.11	25.41	24.73	0.00	0.00	0	17	43	59	0.00	22.97	58.11	79.73
25ARS-MMH0015-20250801A	112	5184308	696106	46288	4986	500	216524	8	0	24.60	25.10	25.58	24.73	0.00	0.00	0	18	44	90	0.00	16.07	39.29	80.36
25ARS-MMH0026-20250807P	105	4932283	349000	46974	11190	520	132931	12	0	24.80	25.13	25.32	24.75	0.00	0.00	0	17	53	94	0.00	16.19	50.48	89.52
25ARS-NMC0009-20251001P	123	5067414	294149	41198	14898	503	121074	15	0	24.68	25.58	25.16	24.59	0.00	0.00	0	19	71	105	0.00	15.45	57.72	85.37
25ARS-NMC0010-20250903P	159	5209740	277236	32765	9224	500	101187	17	0	24.59	25.44	25.30	24.66	0.00	0.00	0	18	77	128	0.00	11.32	48.43	80.50
25ARS-NMC0082-20260323P	186	5101621	259637	27428	7618	516	89216	18	0	24.62	25.23	25.49	24.65	0.00	0.00	0	14	87	154	0.00	7.53	46.77	82.80
25ARS-PGH0033-20260323A	130	5087668	294383	39135	14002	502	117635	15	0	24.55	25.39	25.41	24.66	0.00	0.00	0	18	71	109	0.00	13.85	54.62	83.85
25ARS-PGH0035-20260323A	180	5236878	294347	29093	4913	507	101151	17	0	24.60	24.97	25.85	24.58	0.00	0.00	0	17	78	149	0.00	9.44	43.33	82.78
25ARS-RMC0020-20260316P	142	5139377	360195	36192	10000	502	106447	15	0	24.72	25.21	25.47	24.60	0.00	0.00	0	16	71	118	0.00	11.27	50.00	83.10
25ARS-RTH0006-20260323A	117	4898479	320484	41867	7669	508	127588	12	0	24.88	25.26	25.21	24.66	0.00	0.00	0	17	54	98	0.00	14.53	46.15	83.76
25ARS-VSM0010-20250903P	134	5377607	467777	40131	4062	506	186923	9	0	24.67	25.62	25.08	24.63	0.00	0.00	0	16	48	101	0.00	11.94	35.82	75.37
25ARS-VSM0011-20250905P	131	5015419	302725	38285	4319	501	127625	12	0	24.72	25.16	25.31	24.82	0.00	0.00	0	20	53	101	0.00	15.27	40.46	77.10
25ARS-VSM0012-20250905P	132	5012868	455035	37976	6796	504	127597	12	0	24.68	25.39	25.22	24.71	0.00	0.00	0	18	63	104	0.00	13.64	47.73	78.79
25ARS-VSM0015-20250905P	163	5075380	372535	31137	4273	500	109866	14	0	24.64	25.35	25.38	24.63	0.00	0.00	0	17	67	131	0.00	10.43	41.10	80.37
25ARS-VSM0018-20250905P	117	5130963	453595	43854	12551	510	127614	12	0	24.63	24.96	25.72	24.69	0.00	0.00	0	17	61	102	0.00	14.53	52.14	87.18
25ARS-VSM0035-20250801A	107	5050898	513831	47204	10134	500	175128	9	0	24.61	25.27	25.37	24.75	0.00	0.00	0	16	54	89	0.00	14.95	50.47	83.18
25ARS-VSM0038-20250801A	113	4836817	347526	42803	10059	508	118095	12	0	24.88	25.31	25.14	24.67	0.00	0.00	0	16	57	96	0.00	14.16	50.44	84.96
25ARS-VSM0072-20260330A	118	5060834	317899	42888	10524	501	116209	13	0	24.71	24.96	25.48	24.84	0.00	0.00	0	18	59	96	0.00	15.25	50.00	81.36
25ARS-VSM0073-20260204A	155	5413755	324731	34927	6156	532	120106	13	0	24.71	25.15	25.37	24.77	0.00	0.00	0	15	68	126	0.00	9.68	43.87	81.29
25ARS-VSM0114-20250916P	87	5106790	774582	58698	10046	500	205815	7	0	24.65	25.32	25.22	24.80	0.00	0.00	0	18	44	67	0.00	20.69	50.57	77.01
25ARS-VSM0115-20250916P	114	4954675	318577	43462	5923	501	127600	13	0	24.60	25.19	25.29	24.91	0.00	0.00	0	23	52	98	0.00	20.18	45.61	85.96
25ARS-VSM0119-20250916P	181	5159492	223336	28505	8206	502	86721	18	0	24.66	25.32	25.40	24.62	0.00	0.00	0	14	84	149	0.00	7.73	46.41	82.32
25ARS-VSM0120-20250916P	152	5132356	209380	33765	13320	509	77656	20	0	24.60	25.39	25.33	24.68	0.00	0.00	0	15	89	136	0.00	9.87	58.55	89.47
25ARS-VSM0121-20260323A	111	5213604	518069	46969	4589	501	180923	10	0	24.73	25.36	25.22	24.69	0.00	0.00	0	19	44	87	0.00	17.12	39.64	78.38
25ARS-VSM0122-20260330A	167	5078164	372561	30408	4900	500	110483	14	0	24.64	25.29	25.45	24.62	0.00	0.00	0	15	70	135	0.00	8.98	41.92	80.84
25ARS-VSM0159-20260323A	136	4959951	454846	36470	10300	504	105285	14	0	24.66	25.52	25.11	24.71	0.00	0.00	0	15	68	113	0.00	11.03	50.00	83.09
25ARS-VSM0160-20260323A	95	5419642	420668	57048	9277	516	260146	9	0	24.71	25.71	24.95	24.63	0.00	0.00	0	20	43	77	0.00	21.05	45.26	81.05
25ARS-VSM0161-20260323A	136	5036193	337193	37030	10166	523	112883	14	0	24.78	25.58	25.05	24.59	0.00	0.00	0	18	68	109	0.00	13.24	50.00	80.15
25ARS-VSM0188-20260323P	148	4959463	348608	33509	9958	502	98087	15	0	24.72	25.15	25.40	24.72	0.00	0.00	0	14	73	137	0.00	9.46	49.32	92.57
25ARS-VSM0191-20260323P	95	5026708	430631	52912	9913	502	242330	8	0	24.64	25.17	25.60	24.58	0.00	0.00	0	16	47	79	0.00	16.84	49.47	83.16
25ARS-VSM0192-20260323P	114	5039591	432839	44206	10529	513	127600	12	0	24.78	25.48	25.09	24.65	0.00	0.00	0	18	58	99	0.00	15.79	50.88	86.84
25ARS-VSM0193-20260323P	98	5271548	405312	53791	15322	500	187996	10	0	24.59	25.40	25.27	24.74	0.00	0.00	0	19	51	82	0.00	19.39	52.04	83.67
25ARS-VSM0195-20251217P	161	5034451	290291	31269	7458	510	93618	15	0	24.62	25.10	25.64	24.63	0.00	0.00	0	13	72	131	0.00	8.07	44.72	81.37
25ARS-VSM0196-20260323P	166	4934181	201577	29723	6057	507	99272	19	0	24.50	25.21	25.50	24.79	0.00	0.00	0	17	69	124	0.00	10.24	41.57	74.70
25ARS-VSM0353-20260316A	125	5362498	494921	42899	1596	507	250402	8	0	24.67	25.11	25.52	24.70	0.00	0.00	0	17	46	73	0.00	13.60	36.80	58.40
25ARS-VSM0354-20260316A	143	5220755	294431	36508	10873	529	104594	16	0	24.74	25.31	25.33	24.62	0.00	0.00	0	16	74	121	0.00	11.19	51.75	84.62
25ARS-VSM0356-20260316A	154	5223926	294431	33921	12228	504	92634	18	0	24.62	25.26	25.50	24.62	0.00	0.00	0	16	83	127	0.00	10.39	53.90	82.47
25ARS-VSM0400-20260318P	123	4960480	531311	40329	10568	504	112014	13	0	24.63	25.22	25.42	24.73	0.00	0.00	0	18	62	99	0.00	14.63	50.41	80.49
25ARS-VSM0402-20260316P	162	4858751	337199	29992	3399	500	116726	13	0	24.67	25.48	25.23	24.61	0.00	0.00	0	16	60	123	0.00	9.88	37.04	75.93
25ARS-VSM0403-20260316A	119	4962812	407650	41704	4211	508	128113	12	0	24.57	24.89	25.59	24.94	0.00	0.00	0	21	49	98	0.00	17.65	41.18	82.35
25ARS-VSM0404-20260316P	132	4995012	406687	37841	7133	515	119067	13	0	24.71	25.44	25.31	24.53	0.00	0.00	0	16	61	111	0.00	12.12	46.21	84.09
25ARS-VSM0405-20260316P	119	5139154	294431	43186	18308	529	107393	15	0	24.68	25.38	25.37	24.56	0.00	0.00	0	17	70	99	0.00	14.29	58.82	83.19
25ARS-VSM0407-20260316A	137	4956923	306117	36181	5062	508	113989	14	0	24.84	25.46	25.03	24.66	0.00	0.00	0	19	61	109	0.00	13.87	44.53	79.56
25ARS-ZMC0049-20260316P	143	5025373	548445	35142	5697	511	109910	14	0	24.60	25.37	25.39	24.64	0.00	0.00	0	16	66	115	0.00	11.19	46.15	80.42
25ARS-ZMC0050-20260316A	156	5161115	372853	33084	4059	508	114641	12	0	24.69	25.05	25.48	24.78	0.00	0.00	0	14	61	125	0.00	8.97	39.10	80.13
